record_id,plate_number,plate_title_en,plate_title_ar,exploded_diagram_reference,official_nissan_part_number,english_name,arabic_name,english_description,arabic_description,quantity,applicable_years,applicable_vin,applicable_market,applicable_engine,applicable_transmission,applicable_trim,applicable_body,superseded_part_number,replacement_part_number,technical_notes_en,technical_notes_ar,source_status,source_reference
Y60-PART-0011,Y60-011,Frame - Master Verification Plate,الشاسيه - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Frame component - verification record,قطعة من الشاسيه - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0012,Y60-012,Doors - Master Verification Plate,الأبواب - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Doors component - verification record,قطعة من الأبواب - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0013,Y60-013,Roof - Master Verification Plate,السقف - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Roof component - verification record,قطعة من السقف - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0014,Y60-014,Dashboard - Master Verification Plate,لوحة العدادات - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Dashboard component - verification record,قطعة من لوحة العدادات - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0015,Y60-015,Interior - Master Verification Plate,الداخلية - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Interior component - verification record,قطعة من الداخلية - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0016,Y60-016,Seats - Master Verification Plate,المقاعد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Seats component - verification record,قطعة من المقاعد - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0017,Y60-017,Glass - Master Verification Plate,الزجاج - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Glass component - verification record,قطعة من الزجاج - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0018,Y60-018,Lighting - Master Verification Plate,الإضاءة - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Lighting component - verification record,قطعة من الإضاءة - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0019,Y60-019,HVAC - Master Verification Plate,التكييف والتدفئة والتهوية - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,HVAC component - verification record,قطعة من التكييف والتدفئة والتهوية - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0020,Y60-020,Front AC - Master Verification Plate,المكيف الأمامي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Front AC component - verification record,قطعة من المكيف الأمامي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0021,Y60-021,Rear Cooler - Master Verification Plate,مبرد خلفي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Rear Cooler component - verification record,قطعة من مبرد خلفي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0022,Y60-022,Ice Box - Master Verification Plate,صندوق تبريد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Ice Box component - verification record,قطعة من صندوق تبريد - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0023,Y60-023,Suspension - Master Verification Plate,نظام التعليق - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Suspension component - verification record,قطعة من نظام التعليق - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0024,Y60-024,Steering - Master Verification Plate,نظام التوجيه - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Steering component - verification record,قطعة من نظام التوجيه - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0025,Y60-025,Brakes - Master Verification Plate,نظام الفرامل - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Brakes component - verification record,قطعة من نظام الفرامل - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0026,Y60-026,Front Axle - Master Verification Plate,المحور الأمامي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Front Axle component - verification record,قطعة من المحور الأمامي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0027,Y60-027,Rear Axle - Master Verification Plate,المحور الخلفي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Rear Axle component - verification record,قطعة من المحور الخلفي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
