missing_record_id,system_key,system_en,system_ar,original_epc_plate_number,original_plate_title,arabic_plate_title,missing_items,reason_unavailable_en,reason_unavailable_ar,required_source_evidence,status
Y60-MISSING-EPC-0011,frame,Frame,الشاسيه,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0012,doors,Doors,الأبواب,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0013,roof,Roof,السقف,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0014,dashboard,Dashboard,لوحة العدادات,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0015,interior,Interior,الداخلية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0016,seats,Seats,المقاعد,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0017,glass,Glass,الزجاج,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0018,lighting,Lighting,الإضاءة,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0019,hvac,HVAC,التكييف والتدفئة والتهوية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0020,front_ac,Front AC,المكيف الأمامي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0021,rear_cooler,Rear Cooler,مبرد خلفي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0022,ice_box,Ice Box,صندوق تبريد,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0023,suspension,Suspension,نظام التعليق,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0024,steering,Steering,نظام التوجيه,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0025,brakes,Brakes,نظام الفرامل,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0026,front_axle,Front Axle,المحور الأمامي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0027,rear_axle,Rear Axle,المحور الخلفي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0028,transfer_case,Transfer Case,علبة التحويل,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0029,manual_transmission,Manual Transmission,ناقل الحركة اليدوي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0030,automatic_transmission,Automatic Transmission,ناقل الحركة الأوتوماتيكي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0031,differentials,Differentials,الدفرنسات,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
